"step","time","part","epoch","loss","lr","segmentation_miou","segmentation_dice"
24600,"2024-08-14 03:44:48.527157","train",7,0.09967201948165894,2.492868933777773e-05,"",""
24720,"2024-08-14 03:46:12.753309","train",7,0.1405198574066162,2.4267511939775318e-05,"",""
24840,"2024-08-14 03:47:36.858801","train",7,0.14998003840446472,2.3611968495141125e-05,"",""
24960,"2024-08-14 03:49:01.063436","train",7,0.13385842740535736,2.2962237143089418e-05,"",""
25080,"2024-08-14 03:50:25.248402","train",7,0.11915849149227142,2.2318494443440135e-05,"",""
25200,"2024-08-14 03:51:49.462010","train",7,0.13254089653491974,2.1680915328639997e-05,"",""
25320,"2024-08-14 03:53:13.594597","train",7,0.11409470438957214,2.1049673056225893e-05,"",""
25440,"2024-08-14 03:54:37.769231","train",7,0.15901771187782288,2.042493916174342e-05,"",""
25560,"2024-08-14 03:56:02.037733","train",7,0.12045543640851974,1.9806883412133234e-05,"",""
25680,"2024-08-14 03:57:26.172617","train",7,0.14801621437072754,1.919567375959823e-05,"",""
25800,"2024-08-14 03:58:50.326102","train",7,0.14324340224266052,1.8591476295963667e-05,"",""
25920,"2024-08-14 04:00:14.530369","train",7,0.1247740387916565,1.7994455207542922e-05,"",""
26040,"2024-08-14 04:01:38.772923","train",7,0.13041774928569794,1.7404772730521055e-05,"",""
26136,"2024-08-14 04:33:07.510318","train",7,"","",0.5731783513645289,0.7281832584445908
26136,"2024-08-14 04:36:32.614752","val",7,"","",0.5741801526630932,0.728966751442943
26160,"2024-08-14 04:36:51.995079","train",8,0.14738206565380096,1.6822589106868257e-05,"",""
26280,"2024-08-14 04:38:15.979116","train",8,0.14704033732414246,1.62480625407953e-05,"",""
26400,"2024-08-14 04:39:40.162297","train",8,0.1573643535375595,1.5681349155762636e-05,"",""
26520,"2024-08-14 04:41:04.419478","train",8,0.11318045854568481,1.5122602952054989e-05,"",""
26640,"2024-08-14 04:42:28.726858","train",8,0.1343163251876831,1.4571975764932905e-05,"",""
26760,"2024-08-14 04:43:53.057880","train",8,0.1648084968328476,1.4029617223372544e-05,"",""
26880,"2024-08-14 04:45:17.190914","train",8,0.1665983647108078,1.3495674709405173e-05,"",""
27000,"2024-08-14 04:46:41.350581","train",8,0.14248864352703094,1.2970293318067103e-05,"",""
27120,"2024-08-14 04:48:05.472388","train",8,0.11272035539150238,1.2453615817971167e-05,"",""
27240,"2024-08-14 04:49:29.595286","train",8,0.16530825197696686,1.1945782612510379e-05,"",""
27360,"2024-08-14 04:50:53.685360","train",8,0.1426851749420166,1.1446931701704335e-05,"",""
27480,"2024-08-14 04:52:17.918982","train",8,0.14773719012737274,1.095719864469867e-05,"",""
27600,"2024-08-14 04:53:42.156179","train",8,0.11003188788890839,1.0476716522927872e-05,"",""
27720,"2024-08-14 04:55:06.366887","train",8,0.1350032240152359,1.0005615903951329e-05,"",""
27840,"2024-08-14 04:56:30.650294","train",8,0.10810383409261703,9.544024805972569e-06,"",""
27960,"2024-08-14 04:57:54.850734","train",8,0.11582311242818832,9.092068663051163e-06,"",""
28080,"2024-08-14 04:59:19.149108","train",8,0.16819176077842712,8.649870291017018e-06,"",""
28200,"2024-08-14 05:00:43.246631","train",8,0.11189103126525879,8.217549854096e-06,"",""
28320,"2024-08-14 05:02:07.475408","train",8,0.15423017740249634,7.795224832256178e-06,"",""
28440,"2024-08-14 05:03:31.668550","train",8,0.16660596430301666,7.383009989283498e-06,"",""
28560,"2024-08-14 05:04:55.924888","train",8,0.14924435317516327,6.981017341595537e-06,"",""
28680,"2024-08-14 05:06:20.099982","train",8,0.12221015989780426,6.589356127801859e-06,"",""
28800,"2024-08-14 05:07:44.314123","train",8,0.11602497100830078,6.208132779019205e-06,"",""
28920,"2024-08-14 05:09:08.583443","train",8,0.13121524453163147,5.837450889949601e-06,"",""
29040,"2024-08-14 05:10:32.806863","train",8,0.1375078558921814,5.477411190729249e-06,"",""
29160,"2024-08-14 05:11:57.016155","train",8,0.1182827576994896,5.128111519555837e-06,"",""
29280,"2024-08-14 05:13:21.250152","train",8,0.11451195180416107,4.789646796101675e-06,"",""
29400,"2024-08-14 05:14:45.445381","train",8,0.13889697194099426,4.462108995720037e-06,"",""
29403,"2024-08-14 05:45:10.952814","train",8,"","",0.5729460598388358,0.7279950842092553
29403,"2024-08-14 05:48:34.763538","val",8,"","",0.573985740555946,0.7288080486354775
