"step","time","part","epoch","loss","lr","detection_map","detection_map_50","detection_map_75","detection_map_small","detection_map_medium","detection_map_large","detection_mar_1","detection_mar_10","detection_mar_100","detection_mar_small","detection_mar_medium","detection_mar_large","detection_map_I","detection_mar_100_I","detection_map_II","detection_mar_100_II","detection_map_III","detection_mar_100_III","detection_map_aVR","detection_mar_100_aVR","detection_map_aVL","detection_mar_100_aVL","detection_map_aVF","detection_mar_100_aVF","detection_map_V1","detection_mar_100_V1","detection_map_V2","detection_mar_100_V2","detection_map_V3","detection_mar_100_V3","detection_map_V4","detection_mar_100_V4","detection_map_V5","detection_mar_100_V5","detection_map_V6","detection_mar_100_V6","detection_map_waveform","detection_mar_100_waveform"
3678,"2024-08-09 15:11:32.686141","train",2,"","",0.6938815712928772,0.9861835241317749,0.7892241477966309,0.6855006217956543,0.6902685165405273,0.7515968680381775,0.6569993495941162,0.7335664629936218,0.7335664629936218,0.7192830443382263,0.7264663577079773,0.8403180837631226,0.5932875275611877,0.628416895866394,0.7094902992248535,0.7471710443496704,0.7537239193916321,0.7822611331939697,0.9097169041633606,0.9403755068778992,0.7549418807029724,0.795556366443634,0.6915149092674255,0.7168307900428772,0.8469120264053345,0.8812560439109802,0.49239957332611084,0.5286312103271484,0.659421443939209,0.7000969052314758,0.8664494156837463,0.9035457372665405,0.5433289408683777,0.5908831357955933,0.44767624139785767,0.48102137446403503,0.7515968680381775,0.8403180837631226
3678,"2024-08-09 15:16:07.498359","val",2,"","",0.6956029534339905,0.9900338053703308,0.7910117506980896,0.6858501434326172,0.6930230855941772,0.748104989528656,0.6577386856079102,0.7338454723358154,0.7338454723358154,0.7192068696022034,0.7274037003517151,0.8357370495796204,0.5917062163352966,0.6254321932792664,0.7093545794487,0.7462010979652405,0.7564895749092102,0.7859872579574585,0.9106301069259644,0.9418107271194458,0.7631484270095825,0.7980891466140747,0.6913913488388062,0.7176069021224976,0.8535599112510681,0.8823930621147156,0.4928421676158905,0.5284804105758667,0.6624374985694885,0.7011829018592834,0.8658199310302734,0.9019108414649963,0.5452401638031006,0.592902660369873,0.45211368799209595,0.48225659132003784,0.748104989528656,0.8357370495796204
3680,"2024-08-09 15:16:17.099329","train",3,0.39098572731018066,6.553228361486645e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3720,"2024-08-09 15:17:28.236929","train",3,0.3696860373020172,6.599717077972447e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3760,"2024-08-09 15:18:36.215326","train",3,0.3888970911502838,6.643805572230762e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3800,"2024-08-09 15:19:44.060614","train",3,0.42176905274391174,6.685458090106341e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3840,"2024-08-09 15:20:51.832195","train",3,0.36836984753608704,6.724640852931626e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3880,"2024-08-09 15:22:02.060016","train",3,0.3305111527442932,6.761322084920019e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3920,"2024-08-09 15:23:08.536272","train",3,0.3566836714744568,6.795472038934875e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3960,"2024-08-09 15:24:15.435611","train",3,0.4002867341041565,6.827063020613341e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4000,"2024-08-09 15:25:21.669631","train",3,0.33095136284828186,6.856069410825477e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4040,"2024-08-09 15:26:30.113598","train",3,0.4945172071456909,6.882467686450423e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4080,"2024-08-09 15:27:40.311670","train",3,0.4008048176765442,6.906236439452802e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4120,"2024-08-09 15:28:53.356495","train",3,0.33801424503326416,6.927356394243839e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4160,"2024-08-09 15:29:59.584863","train",3,0.41389578580856323,6.94581042331317e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4200,"2024-08-09 15:31:07.527404","train",3,0.39775365591049194,6.961583561118619e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4240,"2024-08-09 15:32:15.915653","train",3,0.35409945249557495,6.974663016222707e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4280,"2024-08-09 15:33:24.835444","train",3,0.31875115633010864,6.985038181666039e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4320,"2024-08-09 15:34:31.709685","train",3,0.3716142475605011,6.992700643569162e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4360,"2024-08-09 15:35:38.078895","train",3,0.29841041564941406,6.997644187955912e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4400,"2024-08-09 15:36:44.815191","train",3,0.38408634066581726,6.999864805792719e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4440,"2024-08-09 15:37:52.913941","train",3,0.26289424300193787,6.999877736973663e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4480,"2024-08-09 15:38:59.677700","train",3,0.29829296469688416,6.999260222637283e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4520,"2024-08-09 15:40:05.998377","train",3,0.301052451133728,6.99812169437759e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4560,"2024-08-09 15:41:12.737444","train",3,0.29785382747650146,6.996462321713684e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4600,"2024-08-09 15:42:25.296575","train",3,0.3253646492958069,6.994282351714853e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4640,"2024-08-09 15:43:31.854416","train",3,0.30536362528800964,6.991582108963778e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4680,"2024-08-09 15:44:38.117556","train",3,0.2748781740665436,6.988361995508206e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4720,"2024-08-09 15:45:46.377337","train",3,0.3112795948982239,6.984622490801095e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
